inter_arrival_time,processing_time
0.0,0.4434
0.047346,0.5914
0.0,1.222
0.030577,1.183
0.0,0.2692
0.077999,1.3501
0.015239,0.4506
0.046795,0.0766
0.0,0.0111
0.0,0.5007
0.047314,0.5235
0.07798,0.1368
0.0,1.1435
0.0,0.7127
0.062672,0.123
0.046356,1.4231
0.0,0.0029
0.04679,0.2193
0.015469,5.0537
0.170322,0.4697
0.185039,0.6757
0.0,0.4679
0.062067,0.7922
0.061348,0.3951
0.076596,0.5546
0.030685,1.3847
0.077722,0.018
0.108419,0.2622
0.031152,0.5483
0.016031,0.0568
0.015518,0.4798
0.015146,0.4506
0.015245,0.1754
0.046359,0.5047
0.015337,1.0521
0.015399,0.2639
0.077008,0.0638
0.061936,0.2031
0.015195,0.8445
0.0,0.0609
0.031349,0.2071
0.077549,1.1333
0.0,0.0626
0.030973,0.2269
0.031405,0.3199
0.110066,0.2151
0.015508,0.6514
0.015955,0.1148
0.015443,0.2382
0.636178,1.3722
0.077256,0.7464
0.092575,0.7338
0.092157,0.0531
0.046532,0.398
0.046428,0.9757
0.03106,0.8417
0.031007,0.2699
0.077513,0.2322
0.1092,0.9466
0.122928,0.0352
0.045999,0.0274
0.062703,0.1556
0.077408,0.045
0.047325,0.3543
0.062461,0.3656
0.031358,1.2433
0.030721,0.0297
0.016064,0.189
0.030707,0.7716
0.03084,0.5043
0.046497,0.0572
0.030777,0.215
0.031035,0.3641
0.015264,0.1121
0.0316,1.9666
0.0,0.7359
0.015502,0.715
0.0,0.1028
0.092531,0.099
0.046681,1.1334
0.01552,0.1424
0.046992,0.8377
0.015519,1.728
0.030463,0.0001
0.061911,0.4404
0.031563,0.0702
0.077295,1.3289
0.061857,1.0771
0.031439,0.558
0.045935,0.2521
0.140703,0.0143
0.015376,0.2969
0.359201,1.2311
0.0615,0.1525
0.031859,1.3055
0.155284,0.1227
0.047102,0.701
0.046992,0.0124
0.063124,0.5826
0.01553,0.1858
0.125397,0.1472
0.062109,0.0704
0.015458,0.004
0.04693,1.0433
0.092903,2.1374
0.015524,0.2419
0.109305,0.1485
0.063242,0.79
0.186769,0.2805
0.015453,0.2902
0.045935,0.3462
0.169451,0.4145
0.076576,1.0186
0.0,0.5094
0.030535,0.5637
0.0,0.6229
0.108984,1.2917
0.139259,0.2355
0.030942,0.2035
0.046616,0.4474
0.01519,0.1797
0.031625,0.1556
0.031065,0.2585
0.016032,0.0492
0.09335,0.2231
0.0,0.4161
0.0,0.3054
0.000504,0.0103
