message_content,arrival_time,processing_time,completion_time
Message from thread 5,1771099205.3780258 at 2026-02-14T20:22:38.169986,0.8948,2026-02-14T20:22:39.064503
Message from thread 28,1771099205.3780258 at 2026-02-14T20:22:39.065477,0.7168,2026-02-14T20:22:39.783130
Message from thread 12,1771099205.4235988 at 2026-02-14T20:22:39.784039,0.1427,2026-02-14T20:22:39.926857
Message from thread 27,1771099205.424096 at 2026-02-14T20:22:39.927793,0.7724,2026-02-14T20:22:40.701034
Message from thread 1,1771099206.6485393 at 2026-02-14T20:22:40.701911,0.0417,2026-02-14T20:22:40.743813
Message from thread 0,1771099206.6485393 at 2026-02-14T20:22:40.744633,0.1873,2026-02-14T20:22:40.932189
Message from thread 16,1771099206.6480343 at 2026-02-14T20:22:40.933041,0.0025,2026-02-14T20:22:40.935702
Message from thread 30,1771099206.7402072 at 2026-02-14T20:22:40.936252,0.9952,2026-02-14T20:22:41.932561
Message from thread 17,1771099206.817429 at 2026-02-14T20:22:41.933437,0.0432,2026-02-14T20:22:41.976828
Message from thread 22,1771099206.817429 at 2026-02-14T20:22:41.977848,0.3040,2026-02-14T20:22:42.282311
Message from thread 44,1771099206.8180091 at 2026-02-14T20:22:42.283274,0.6207,2026-02-14T20:22:42.904680
Message from thread 2,1771099206.8180091 at 2026-02-14T20:22:42.905521,0.1767,2026-02-14T20:22:43.082553
Message from thread 43,1771099206.863897 at 2026-02-14T20:22:43.083442,0.9965,2026-02-14T20:22:44.080312
Message from thread 48,1771099206.863897 at 2026-02-14T20:22:44.081191,0.1010,2026-02-14T20:22:44.182446
Message from thread 14,1771099206.879435 at 2026-02-14T20:22:44.183351,0.5878,2026-02-14T20:22:44.771900
Message from thread 34,1771099206.8799384 at 2026-02-14T20:22:44.772907,0.2862,2026-02-14T20:22:45.059534
Message from thread 6,1771099206.8799384 at 2026-02-14T20:22:45.060446,0.2686,2026-02-14T20:22:45.329423
Message from thread 11,1771099206.879435 at 2026-02-14T20:22:45.330326,0.6872,2026-02-14T20:22:46.018357
Message from thread 10,1771099206.879435 at 2026-02-14T20:22:46.019505,0.2286,2026-02-14T20:22:46.248457
Message from thread 8,1771099206.880444 at 2026-02-14T20:22:46.249314,0.0203,2026-02-14T20:22:46.269758
Message from thread 35,1771099206.8799384 at 2026-02-14T20:22:46.270619,0.0126,2026-02-14T20:22:46.283368
Message from thread 46,1771099206.880444 at 2026-02-14T20:22:46.284308,0.5072,2026-02-14T20:22:46.792143
Message from thread 40,1771099206.880444 at 2026-02-14T20:22:46.792996,0.3700,2026-02-14T20:22:47.163497
Message from thread 18,1771099206.880444 at 2026-02-14T20:22:47.164318,0.7777,2026-02-14T20:22:47.942941
Message from thread 45,1771099206.9560592 at 2026-02-14T20:22:47.943801,1.3017,2026-02-14T20:22:49.246848
Message from thread 49,1771099206.9560592 at 2026-02-14T20:22:49.247651,0.0378,2026-02-14T20:22:49.285568
Message from thread 9,1771099207.0020816 at 2026-02-14T20:22:49.286370,0.8008,2026-02-14T20:22:50.088057
Message from thread 29,1771099207.0025833 at 2026-02-14T20:22:50.089000,0.2285,2026-02-14T20:22:50.317793
Message from thread 47,1771099207.0020816 at 2026-02-14T20:22:50.318618,0.3369,2026-02-14T20:22:50.655926
Message from thread 38,1771099207.0025833 at 2026-02-14T20:22:50.656891,0.3157,2026-02-14T20:22:50.973021
Message from thread 31,1771099207.0025833 at 2026-02-14T20:22:50.973922,0.3340,2026-02-14T20:22:51.372691
Message from thread 33,1771099207.0329397 at 2026-02-14T20:22:51.374096,0.9775,2026-02-14T20:22:52.352850
Message from thread 27,1771099207.079067 at 2026-02-14T20:22:52.353876,0.0303,2026-02-14T20:22:52.384344
Message from thread 36,1771099207.0795743 at 2026-02-14T20:22:52.385288,0.8117,2026-02-14T20:22:53.197904
Message from thread 12,1771099207.079067 at 2026-02-14T20:22:53.198787,0.4523,2026-02-14T20:22:53.651665
Message from thread 0,1771099208.3811305 at 2026-02-14T20:22:53.652602,0.6113,2026-02-14T20:22:54.264688
Message from thread 16,1771099208.396656 at 2026-02-14T20:22:54.265668,0.9397,2026-02-14T20:22:55.206441
Message from thread 21,1771099208.396656 at 2026-02-14T20:22:55.207294,0.0413,2026-02-14T20:22:55.248717
Message from thread 30,1771099208.4896011 at 2026-02-14T20:22:55.249651,0.1640,2026-02-14T20:22:55.413980
Message from thread 23,1771099208.56727 at 2026-02-14T20:22:55.414881,0.2757,2026-02-14T20:22:55.690933
Message from thread 17,1771099208.56727 at 2026-02-14T20:22:55.691932,0.0234,2026-02-14T20:22:55.715501
Message from thread 20,1771099208.5677764 at 2026-02-14T20:22:55.716344,0.0810,2026-02-14T20:22:55.797527
Message from thread 44,1771099208.56727 at 2026-02-14T20:22:55.798343,0.0351,2026-02-14T20:22:55.833599
Message from thread 22,1771099208.5677764 at 2026-02-14T20:22:55.834489,0.0001,2026-02-14T20:22:55.834713
Message from thread 2,1771099208.56727 at 2026-02-14T20:22:55.835206,0.0197,2026-02-14T20:22:55.855102
Message from thread 4,1771099208.5677764 at 2026-02-14T20:22:55.855920,0.0931,2026-02-14T20:22:55.949261
Message from thread 48,1771099208.614205 at 2026-02-14T20:22:55.950117,0.2745,2026-02-14T20:22:56.225002
Message from thread 24,1771099208.614205 at 2026-02-14T20:22:56.225960,0.2553,2026-02-14T20:22:56.481669
Message from thread 8,1771099208.6299186 at 2026-02-14T20:22:56.482483,0.8910,2026-02-14T20:22:57.374531
Message from thread 35,1771099208.6294127 at 2026-02-14T20:22:57.375472,0.4168,2026-02-14T20:22:57.792760
Message from thread 34,1771099208.6299186 at 2026-02-14T20:22:57.793591,0.1008,2026-02-14T20:22:57.894649
Message from thread 6,1771099208.6299186 at 2026-02-14T20:22:57.895767,0.1590,2026-02-14T20:22:58.055039
Message from thread 37,1771099208.6309228 at 2026-02-14T20:22:58.056013,0.5244,2026-02-14T20:22:58.581004
Message from thread 11,1771099208.6294127 at 2026-02-14T20:22:58.581814,0.0058,2026-02-14T20:22:58.587764
Message from thread 46,1771099208.6299186 at 2026-02-14T20:22:58.588320,1.7433,2026-02-14T20:23:00.333489
Message from thread 39,1771099208.7077703 at 2026-02-14T20:23:00.334399,0.0977,2026-02-14T20:23:00.432317
Message from thread 49,1771099208.7077703 at 2026-02-14T20:23:00.433160,0.1737,2026-02-14T20:23:00.607150
Message from thread 9,1771099208.7693756 at 2026-02-14T20:23:00.608056,0.3271,2026-02-14T20:23:00.935635
Message from thread 38,1771099208.7693756 at 2026-02-14T20:23:00.936537,0.0851,2026-02-14T20:23:01.021831
Message from thread 29,1771099208.7698803 at 2026-02-14T20:23:01.022902,0.3963,2026-02-14T20:23:01.419720
Message from thread 47,1771099208.7698803 at 2026-02-14T20:23:01.420618,0.9574,2026-02-14T20:23:02.379041
Message from thread 13,1771099208.80052 at 2026-02-14T20:23:02.379767,0.0125,2026-02-14T20:23:02.392400
Message from thread 5,1771099208.80052 at 2026-02-14T20:23:02.393175,0.0019,2026-02-14T20:23:02.395219
Message from thread 26,1771099208.80052 at 2026-02-14T20:23:02.395933,3.4797,2026-02-14T20:23:05.879214
